tonality,vector_means
10.0,-340.7392883300781
10.0,-94.96749877929688
10.0,-469.6957702636719
10.0,-145.86485290527344
10.0,-162.68418884277344
9.0,-145.70639038085938
1.0,-20.694034576416016
6.0,-249.4825439453125
8.0,-13.690659523010256
9.0,-70.05279541015625
10.0,-190.42393493652344
5.0,-131.65240478515622
9.0,-350.1211853027344
5.0,-194.85958862304688
3.0,-153.0120086669922
7.0,-777.8812866210938
8.0,-87.97000885009766
10.0,-179.59503173828125
10.0,-10.17972183227539
10.0,-439.6222534179688
10.0,-352.1879577636719
9.0,-354.95257568359375
8.0,-565.7891845703125
8.0,-764.2813110351562
10.0,-41.43045043945313
9.0,-283.42633056640625
9.0,-188.93382263183597
8.0,-96.25035095214844
7.0,-245.30709838867188
9.0,-91.25784301757812
9.0,-217.19537353515625
10.0,-67.73296356201172
2.0,-69.13842010498047
9.0,-183.3868560791016
9.0,-35.09804153442383
10.0,-40.34419250488281
10.0,-133.12765502929688
9.0,-174.94223022460938
9.0,-36.81076431274414
10.0,-16.56367301940918
1.0,-69.99510955810547
10.0,-199.9457092285156
7.0,-285.92437744140625
10.0,-456.1883544921875
9.0,-355.5538024902344
9.0,-897.3871459960938
9.0,-942.3034057617188
9.0,-1190.783935546875
9.0,-647.0282592773438
9.0,-905.8284301757812
9.0,-745.500244140625
10.0,-66.13311004638672
9.0,-1099.4019775390623
9.0,-181.1560821533203
10.0,-31.374156951904297
9.0,-734.7050170898438
9.0,-621.13330078125
7.0,-271.63497924804693
10.0,-102.41413116455078
10.0,-38.26456069946289
5.0,-129.61521911621094
9.0,-638.7077026367188
9.0,-288.31048583984375
7.0,-79.44918823242188
9.0,-538.8856201171875
10.0,-774.562255859375
10.0,-498.3216857910156
10.0,-731.406982421875
9.0,-441.3014831542969
9.0,-684.0829467773438
9.0,-78.60152435302734
10.0,-67.61862945556639
9.0,-21.457839965820312
9.0,-89.58322143554688
10.0,-57.98257827758789
9.0,-120.62725830078124
9.0,-60.2697868347168
9.0,-191.66197204589844
9.0,-26.46945953369141
4.0,-42.62663269042969
5.0,-133.24813842773438
10.0,-141.04562377929688
9.0,-54.25983047485352
8.0,-233.9267425537109
9.0,-4971.36376953125
1.0,-150.30044555664062
6.0,-4368.53173828125
7.0,-4485.7548828125
7.0,-156.0644073486328
8.0,-4250.3486328125
7.0,-4789.22900390625
8.0,-2996.91552734375
7.0,-1290.7333984375
8.0,-4693.3056640625
8.0,-90.52132415771484
9.0,-419.7073669433594
10.0,-437.6784362792969
10.0,-77.75762176513672
4.0,-234.32791137695312
8.0,-95.19027709960938
10.0,-2283.705322265625
8.0,-3223.36279296875
6.0,-170.88601684570312
9.0,-48.37661743164063
4.0,-65.40076446533203
8.0,-130.76358032226562
8.0,-219.6015625
10.0,-103.5925521850586
10.0,-35.912322998046875
10.0,-429.6106262207031
10.0,-157.10003662109375
10.0,-99.18704223632812
10.0,-136.467041015625
10.0,-248.8162384033203
10.0,-475.3092651367188
9.0,-250.83319091796875
10.0,-240.406494140625
4.0,-594.530029296875
10.0,-123.56723022460938
10.0,-57.30295181274414
9.0,-16.142986297607422
9.0,-84.29569244384766
10.0,-124.0159912109375
10.0,-147.32846069335938
10.0,-588.0619506835938
10.0,-659.5391845703125
5.0,-705.0025024414062
10.0,-507.0787658691406
10.0,-454.4053955078125
8.0,-96.05349731445312
2.0,-9.974196434020996
8.0,-947.545654296875
7.0,-100.45489501953124
9.0,-255.6688690185547
10.0,-66.55268096923828
5.0,-446.8910217285156
9.0,-700.7060546875
10.0,-1102.9178466796877
5.0,-840.8165283203125
1.0,-1195.131103515625
10.0,-72.88734436035156
9.0,-955.4863891601562
9.0,-617.1760864257812
9.0,-154.860595703125
8.0,-566.4656982421875
9.0,-4836.5458984375
10.0,-4531.544921875
10.0,-4778.93505859375
8.0,-3472.130859375
6.0,-607.09326171875
8.0,-3720.499267578125
8.0,-103.78509521484376
10.0,-60.79996871948242
10.0,-2699.875244140625
10.0,-1054.139892578125
10.0,-285.8124084472656
9.0,-200.11557006835938
10.0,-827.1573486328125
8.0,-62.80792617797852
10.0,-197.1695098876953
8.0,-257.26675415039057
9.0,-31.002687454223636
10.0,-197.48789978027344
8.0,-2807.25
10.0,-515.7788696289061
8.0,-491.2963562011719
9.0,-677.6146850585938
4.0,-150.21714782714844
9.0,-79.1171875
9.0,-92.5484619140625
10.0,-263.34213256835943
10.0,-66.12281036376953
10.0,-131.572998046875
10.0,-225.5196685791016
10.0,-31.62187767028809
7.0,-197.028564453125
10.0,-70.8594970703125
10.0,-620.42578125
10.0,-137.64268493652344
10.0,-85.45030975341797
9.0,-504.6739196777344
10.0,-296.0970458984375
10.0,-198.4803771972656
10.0,-42.58384323120117
8.0,-266.0291748046875
10.0,-74.02764892578125
9.0,-55.25609588623047
9.0,-139.9140625
10.0,-271.16189575195307
10.0,-333.1307067871094
3.0,-367.1832885742188
4.0,-371.575927734375
10.0,-457.2427062988281
10.0,-235.4249420166016
9.0,-267.08755493164057
9.0,-270.1064453125
10.0,-298.5527648925781
8.0,-180.48895263671875
8.0,-244.4496154785156
9.0,-224.0418243408203
9.0,-243.57325744628903
8.0,-487.31683349609375
9.0,-680.4985961914062
9.0,-337.0020446777344
7.0,-478.8724670410156
10.0,-345.72784423828125
7.0,-150.5755615234375
9.0,-742.5447998046875
4.0,-93.66835021972656
10.0,-17.169607162475586
9.0,-261.81304931640625
9.0,-622.590576171875
9.0,-155.9578857421875
9.0,-68.35173797607422
7.0,-354.78240966796875
10.0,-303.5561218261719
8.0,-253.559814453125
9.0,-422.17523193359375
9.0,-150.99368286132812
5.0,-210.5407867431641
8.0,-111.86505889892578
